_id,singkat,hasil
8656,type,tipe
8657,typekal,tipikal
8658,typical,tipikal
8659,urani,tirani
8660,tytyd,titit
8661,wc,toilet
8662,tuwek,tua
8663,wait,tunggu
8664,turret,turet
8665,turkey,turki
8666,turnament,turnamen
8667,turo,turonggo
8668,turun2,turun turun
8669,tweet2,tweet tweet
8670,twee,twit
8671,tweeps,twit
8672,tweet,twit
8673,tweetdsap,twit
8674,tweets,twit
8675,twet,twit
8676,twip,twit
8677,twips,twit
8678,twit,twit
8679,twitt,twit
8680,twiy,twit
8681,twt,twit
8682,tweetnya,twitnya
8683,twatter,twitter
8684,tweeter,twitter
8685,twiter,twitter
8686,tyasmirasih,tyas mirasih
8687,uangkita,uang kita
8688,ucpn,ucapan
8689,ucapakan,ucapkan
8690,uddin,udin
8691,ugal2an,ugal ugalan
8692,ugh,uh
8693,unch,uh
8694,ush,uh
8695,uuhh,uh
8696,uunncchh,uh
8697,uhuww,uhuy
8698,woo,uhuy
8699,woohoo,uhuy
8700,ujin,ujian
8701,uas,ujian akhir semester
8702,umptn,ujian masuk perguruan tinggi nasional
8703,un,ujian nasional
8704,unbk,ujian nasional berbasis komputer
8705,uts,ujian tengah semester
8706,ujung2,ujung ujung
8707,ujung2nya,ujung ujungnya
8708,ukwah,ukhuwah
8709,ulakkarang,ulak karang
8710,ulama�,ulama
8711,ulama�,ulama
8712,ulama2an,ulama bohongan
8713,ulama2,ulama ulama
8714,ulangtahun,ulang tahun
8715,ulangtaun,ulang tahun
8716,ultah,ulang tahun
8717,ulang2,ulang ulang
8718,ulasanya,ulasannya
8719,ultrakanan,ultra kanan
8720,uv,ultra violet
8721,umara�,umara
8722,umaro,umara
8723,umaroh,umara
8724,umatbersamasaksi,umat bersama saksi
8725,ummatnha,umatnya
8726,umroh,umrah
8727,umur2,umur umur
8728,undang2,undang undang
8729,uu,undang undang
8730,uud,undang undang dasar
8731,uud45,undang undang dasar 1945
8732,unfol,unfollow
8733,unfoll,unfollow
8734,upfoll,unfollow
8735,upload,unggah
8736,ungkit2,ungkit ungkit
8737,uae,uni emirat arab
8738,unisoviet,uni soviet
8739,url,uniform resource locator
8740,uk,united kingdom
8741,usa,united state of america
8742,univ,universitas
8743,universiti,universitas
8744,university,universitas
8745,university�,universitas
8746,ub,universitas brawijaya
8747,uin,universitas islam negeri
8748,unkris,universitas kristen
8749,unm,universitas negeri malang
8750,unpad,universitas negeri padjadjaran
8751,unnes,universitas negeri semarang
8752,untan,universitas tanjungpura
8753,untar,universitas tarumanegara
8754,universiti2,universitas universitas
8755,unt,untuk
8756,untuak,untuk
8757,unutk,untuk
8758,utuk,untuk
8759,untrakyat,untuk rakyat
8760,untung2an,untung untungan
8761,uupa,upah
8762,umr,upah minimum regional
8763,upone,upon
8764,upss,ups
8765,urusn,urusan
8766,urusin,uruskan
8767,ukm,usaha kecil menengah
8768,umkm,usaha mikro kecil dan menengah
8769,usirchina,usir cina
8770,usirdubesmyanmar,usir kedutaan besar myanmar
8771,usluf,uslub
8772,ustmani,usmani
8773,uss,ussr
8774,ust,ustaz
8775,ustadz,ustaz
8776,ustd,ustaz
8777,ust2,ustaz ustaz
8778,ustad2,ustaz ustaz
8779,ustadz2,ustaz ustaz
8780,ustd2,ustaz ustaz
8781,uthman,utsman
8782,utusanmalaysia,utusan malaysia
8783,utusanonline,utusan online
8784,udzur,uzur
8785,valik,valak
8786,validnya,validitasnya
8787,verif,verifikasi
8788,ver,versi
8789,vii,vi
8790,vid,video
8791,videobokep,video bokep
8792,vidkep,video bokep
8793,videobokepgrat,video bokep gratis
8794,vc,video call
8795,vcs,video call sex
8796,vclip,video klip
8797,videomesum,video mesum
8798,videongentot,video ngentot
8799,vikinganjing,viking anjing
8800,villa,vila
8801,vincesius,vincentius
8802,vinyl,vinil
8803,virakan,viralkan
8804,viralin,viralkan
8805,visualnya,visualisasinya
8806,viv4jokowi,viva jokowi
8807,vivov9,vivo
8808,vivov9grandlaunch,vivo
8809,vocal,vokal
8810,waba,wabah
8811,wadaauuww,waduh
8812,wadaw,waduh
8813,wadidaw,waduh
8814,waduuh,waduh
8815,wala,waduh
8816,wllh,waduh
8817,wlo,waduh
8818,waah,wah
8819,wahh,wah
8820,wal,wah
8821,wehh,wah
8822,woh,wah
8823,wohh,wah
8824,yua,wah
8825,wagelaseh,wah gila sih
8826,waaini,wah ini
8827,waini,wah ini
8828,wainna,wah ini
8829,wahbrot,wah saudara
8830,wagakbener,wah tidak benar
8831,wahabrer,wah tidak benar
8832,wah2,wah wah
8833,wahhabi,wahabi
8834,wahabism,wahabisme
8835,wajae,wajahnya
8836,wajah�,wajahnya
8837,wajahx,wajahnya
8838,wjar,wajar
8839,wajar2,wajar wajar
8840,wajarla,wajarlah
8841,wamil,wajib militer
8842,waji,wajik
8843,wagub,wakil gubernur
8844,wagubku,wakil gubernurku
8845,wagubnya,wakil gubernurnya
8846,waketum,wakil ketua umum
8847,wapres,wakil presiden
8848,wapresnya,wakil presidennya
8849,wapresnye,wakil presidennya
8850,wib,waktu indonesia bagian barat
8851,wayahe,waktunya
8852,walaipun,walaupun
8853,walaupon,walaupun
8854,walupun,walaupun
8855,walikota,wali kota
8856,walkot,wali kota
8857,walikotanya,wali kotanya
8858,walisongo,wali songo
8859,wanita2,wanita wanita
8860,waqi�,waqiah
8861,wn,warga negara
8862,wna,warga negara asing
8863,wni,warga negara indonesia
8864,wargapribumiasli,warga pribumi asli
8865,warisan�,warisannya
8866,wartawan2,wartawan wartawan
8867,wrung,warung
8868,warnet,warung internet
8869,warteg,warung tegal
8870,warung2,warung warung
8871,wasite,wasitnya
8872,waspadapki,waspada partai komunis indonesia
8873,waspadailah,waspadalah
8874,waspadanya,waspadalah padanya
8875,wslm,wassalam
8876,wassalammualaikum,wassalammualaykum
8877,watrpad,wattpad
8878,wawancaraeksklusif,wawancara eksklisif
8879,wgl,we get love
8880,wibu,weeaboo
8881,wenangan,wejangan
8882,wel,well
8883,wtf,what the fuck
8884,wassapnya,whatsappnya
8885,wefie,wifi
8886,wil,wilayah
8887,wilyah,wilayah
8888,wilayah2,wilayah wilayah
8889,wne,wine
8890,wirosableng,wiro sableng
8891,wisatakaltim,wisata kalimantan timur
8892,waakaakaak,wkwk
8893,wakaka,wkwk
8894,wakakak,wkwk
8895,wakakaka,wkwk
8896,wakakakak,wkwk
8897,wakakakaka,wkwk
8898,wakakakakakak,wkwk
8899,wakakkakkak,wkwk
8900,wakaq,wkwk
8901,wakwaww,wkwk
8902,wek,wkwk
8903,wekawekaweka,wkwk
8904,wekekkeke,wkwk
8905,wjdjiqksks,wkwk
8906,wk,wkwk
8907,wkaakakak,wkwk
8908,wkakak,wkwk
8909,wkakakakaka,wkwk
8910,wkejwkkw,wkwk
8911,wkk,wkwk
8912,wkkw,wkwk
8913,wkkwkk,wkwk
8914,wkkwkw,wkwk
8915,wkkwkwkw,wkwk
8916,wkkwkwkwkw,wkwk
8917,wkkww,wkwk
8918,wks,wkwk
8919,wksk,wkwk
8920,wkw,wkwk
8921,wkwkk,wkwk
8922,wkwkkw,wkwk
8923,wkwkkwk,wkwk
8924,wkwkkwkw,wkwk
8925,wkwkkwkwkw,wkwk
8926,wkwkkwkwkwkwkq,wkwk
8927,wkwks,wkwk
8928,wkwkw,wkwk
8929,wkwkwjjwjw,wkwk
8930,wkwkwk,wkwk
8931,wkwkwkakak,wkwk
8932,wkwkwkk,wkwk
8933,wkwkwkkwkw,wkwk
8934,wkwkwkkwkwkwwk,wkwk
8935,wkwkwkw,wkwk
8936,wkwkwkwkk,wkwk
8937,wkwkwkwkkw,wkwk
8938,wkwkwkwkw,wkwk
8939,wkwkwkwkwk,wkwk
8940,wkwkwkwkwkk,wkwk
8941,wkwkwkwkwkkw,wkwk
8942,wkwkwkwkwkkwkwkw,wkwk
8943,wkwkwkwkwkw,wkwk
8944,wkwkwkwkwkwkk,wkwk
8945,wkwkwkwkwkwkwk,wkwk
8946,wkwkwkwkwkwkwkwk,wkwk
8947,wkwkwkwkwkwkwkwkkwkwkwkwkwkwkwkkw,wkwk
8948,wkwkwkwkwkwkwkwkwkwkwk,wkwk
8949,wkwkwkwkwwkwkwkwkwkwkwk,wkwk
8950,wkwkwkwwkkwkwkwkwk,wkwk
8951,wkwkwkwwkwk,wkwk
8952,wkwkwwk,wkwk
8953,wkwwk,wkwk
8954,wqwq,wkwk
8955,wqwqwq,wkwk
8956,wqwqwqwq,wkwk
8957,wuakkakaa,wkwk
8958,wwkkw,wkwk
8959,wwkwkwkw,wkwk
8960,wwsn,wkwk
8961,wonderfulindonesia,woderful indonesia
8962,worldcup2018,world cup 2018
8963,waaw,wow
8964,waow,wow
8965,waw,wow
8966,wew,wow
8967,widih,wow
8968,woow,wow
8969,woww,wow
8970,wuah,wow
8971,wusstt,wow
8972,wournos,wuornos
8973,winwen,xinwen
8974,yab,ya
8975,ya�,ya
8976,yha,ya
8977,yaah,ya
8978,yaakk,ya
8979,yahh,ya
8980,yas,ya
8981,yeah,ya
8982,yuups,ya
8983,yaallah,ya allah
8984,yaallahh,ya allah
8985,yaolo,ya allah
8986,yasalam,ya allah
8987,yassalam,ya allah
8988,yawlah,ya allah
8989,yaamfun,ya ampun
8990,yaampun,ya ampun
8991,yampun,ya ampun
8992,yagimanasih,ya bagaimana sih
8993,yagitu,ya begitu
8994,yai,ya iyalah
8995,yaila,ya iyalah
8996,yailaah,ya iyalah
8997,yailah,ya iyalah
8998,yaiyalah,ya iyalah
8999,yakali,ya kali
9000,yra,ya rabbal alamin
9001,yauda,ya sudah
9002,yawdah,ya sudah
9003,yowis,ya sudah
9004,yaudahlah,ya sudahlah
9005,yanga,ya tidak
9006,yaola,ya tidak
9007,yalord,ya tuhan
9008,yaaelaa,yaelah
9009,yaaelah,yaelah
9010,yaelahh,yaelah
9011,yahodi,yahudi
9012,yahudii,yahudi
9013,yahudilik,yahudi
9014,yakini,yaitu
9015,yakiin,yakin
9016,yakiinn,yakin
9017,yabg,yang
9018,yanag,yang
9019,yangg,yang
9020,yant,yang
9021,yynng,yang
9022,zhang,yang
9023,yangbagus,yang bagus
9024,ybhg,yang berbahagia
9025,ybs,yang bersangkutan
9026,yll,yang lain lain
9027,yme,yang maha esa
9028,yangmembuat,yang membuat
9029,yth,yang terhormat
9030,yasadipura,yasa adipura
9031,yaysn,yayasan
9032,ylbhi,yayasan lembaga bantuan hukum indonesia
9033,ylhbi,yayasan lembaga bantuan hukum indonesia
9034,yal,yel
9035,yall,yel
9036,yell,yel
9037,yogya,yogyakarta
9038,ykwim,you know what i mean
9039,yutub,youtube
9040,yutup,youtube
9041,yutuber,youtuber
9042,yubaarik,yubarik
9043,ucril,yusril
9044,ym,yusuf mansyur
9045,zainulmajdi,zainul majdi
9046,zhalim,zalim
9047,zmn,zaman
9048,zar,zat
9049,zionist,zionis
9050,zoon,zoom
9051,zuyle,zumi
9052,met,selamat
9053,netaas,menetas
9054,keberpa,keberapa
9055,eeeehhhh,eh
9056,kata2nyaaa,kata katanya
9057,hallo,halo
9058,ka,kakak
9059,daah,dah
9060,aaaaahhhh,ah
9061,nyenengin,menyenangkan
9062,gemess,gemas
9063,akuuu,aku
9064,gemesiin,menggemaskan
9065,menyenangkn,menyenangkan
9066,mnis2nya,manis manisnya
9067,idolaa,idola
9068,kaakk,kakak
9069,baaiikkk,baik
9070,telaatt,telat
9071,kaak,kakak
9072,loohhh,lo
9073,yeee,iya
9074,baguuuuus,bagus
9075,gayany,gayanya
9076,bnk,bank
9077,awaas,awas
9078,siip,sip
9079,abizzzz,habis
9080,kerrrrennnn,keren
9081,sayaa,saya
9082,sdkit,sedikit
9083,lgu,lagu
9084,kharismanya,karismanya
9085,lgunya,lagunya
9086,kereeeeennnn,keren
9087,nyamain,menyamakan
9088,lakik,laki
9089,siippp,sip
9090,kereeen,keren
9091,wihhhhhh,weh
9092,bingitsss,banget
9093,kaloo,kalau
9094,gimna,bagaimana
9095,tuuh,itu
9096,nyebur,mencebur
9097,dbuat,dibuat
9098,bangcat,bangsat
9099,waoohhh,wah
9100,dhe,deh
9101,indahhh,indah
9102,bgttt,banget
9103,berarto,berarti
9104,amiiinn,amin
9105,aminnnn2,amin amin
9106,amiiiin,amin
9107,aminnn,amin
9108,amiend,amin
9109,yaaa,ya
9110,ameen,amin
9111,aminnnn,amin
9112,amiiinnn,amin
9113,mamer,memamerkan
9114,jelase,jelas
9115,uwakk,uak
9116,gini,begini
9117,njir,anjir
9118,piiink,merah muda
9119,astgfrullah,astagfirullah
9120,gbs,enggak bisa
9121,yaaaaaa,ya
9122,bangshad,bangsat
9123,stagahhhh,astaga
9124,iooo,lo
9125,plampiasannn,pelampiasan
9126,masalahh,masalah
9127,inghinn,ingin
9128,dhi,di
9129,mengherthii,mengerti
9130,yanckh,sayang
9131,chelalyyu,selalu
9132,therchakitty,tersakiti
9133,mauuuuu,mau
9134,kaliii,kali
9135,bangat,banget
9136,dongg,dong
9137,yokkk,ayo
9138,sweger,segar
9139,gantengg,ganteng
9140,bingiit,banget
9141,kebukaaa,terbuka
9142,kayakk,kayak
9143,asliii,asli
9144,cntiknya,cantiknya
9145,ngeliatnya,melihatnya
9146,njerr,anjir
9147,bingiiittttzzzz,banget
9148,dooong,dong
9149,hdk,hendak
9150,jugaa,juga
9151,mksud,maksud
9152,mbakx,mbaknya
9153,bejilbbnya,berjilbabnya
9154,masio,masih
9155,yahhh,ya
9156,makasih,terima kasih
9157,ugaaa,juga
9158,jerewi,jerawat
9159,jilbabnyaah,jilbabnya
9160,yuuuk,ayo
9161,warnaaa,warna
9162,punyaaa,punya
9163,cantiik,cantik
9164,sukaaak,suka
9165,kebayanyaa,kebayanya
9166,merekaaaa,mereka
9167,jugaaa,juga
9168,gilaaaa,gila
9169,tiga2nya,tiga tiganya
9170,lucuu,lucu
9171,emessss,gemas
9172,ucullllll,lucu
9173,bangeettt,banget
9174,gemesshh,gemas
9175,apaaa,apa
9176,ampuunn,ampun
9177,ciuuuummmm,cium
9178,ngemeng,bicara
9179,epe,apa
9180,seehh,sih
9181,ucul,lucu
9182,astagfirrullah,astagfirullah
9183,suerrr,sumpah
9184,ntik,cantik
9185,lucuuuu,lucu
9186,ketawakkkk,ketawa
9187,nakutin,menakutkan
9188,malingg,maling
9189,cocokk,cocok
9190,niihh,nih
9191,imutttttt,imut
9192,satuuuuu,satu
9193,sesekk,sesak
9194,nafass,napas
9195,bgtt,banget
9196,cintaaaaaaa,cinta
9197,lucuk,lucu
9198,duluu,dulu
9199,megang,memegang
9200,kawinin,mengawini
9201,nyaaa,nya
9202,gemesin,menggemaskan
9203,fotoin,foto
9204,kaaa,kakak
9205,ganteng2,ganteng ganteng
9206,pcarny,pacarnya
9207,kri,kiri
9208,garuk2,garuk garuk
9209,tembokk,tembok
9210,kiriii,kiri
9211,bungkusin,bungkuskan
9212,dehhhh,deh
9213,kakk,kakak
9214,ngegantiin,menggantikan
9215,trsa,terasa
9216,khadirannya,kehadirannya
9217,hayalanku,khayalanku
9218,surgaa,surga
9219,kangenn,kangen
9220,kgn,kangen
9221,kakkkkk,kakak
9222,rinduuuuuuuuu,rindu
9223,terangkhn,terangkan
9224,bgtttt,banget
9225,bngunlah,bangunlah
9226,qu,ku
9227,hiri,hari
9228,alm,almarhum
9229,sie,sih
9230,benet,benar
9231,bangetttt,banget
9232,gda,enggak ada
9233,gantiin,gantikan
9234,kklau,kalau
9235,acra,acara
9236,bnerr,benar
9237,emk,emak
9238,temenn,teman
9239,pngenn,ingin
9240,terkenall,terkenal
9241,ajhh,saja
9242,sungguh2,sungguh sungguh
9243,dimusiumin,dimuseumkan
9244,bntu,bantu
9245,kangem,kangen
9246,amiiin,amin
9247,lahhh,lah
9248,lht,lihat
9249,biasa2,biasa biasa
9250,mnrtkuu,menurutku
9251,wajiiib,wajib
9252,aaaammmiiiinnnn,amin
9253,dtnggu,ditunggu
9254,kunjungin,kunjungi
9255,lagiiii,lagi
9256,waktunyaaa,waktunya
9257,diluangin,diluangkan
9258,mimin,admin
9259,istimewaaa,istimewa
9260,donkk,dong
9261,kejawab,terjawab
9262,yaaaa,ya
9263,seru2an,seru seruan
9264,mohom,mohon
9265,kebalas,terbalas
9266,nyempetin,menyempatkan
9267,wktunya,waktunya
9268,kaaaa,kakak
9269,namain,menamai
9270,ijap,ijab
9271,kobul,kabul
9272,inggat,ingat
9273,brdua,berdua
9274,sanggat,sangat
9275,siipp,sip
9276,laa,lah
9277,hdp,hidup
9278,kedpan,ke depan
9279,mndaptkan,mendapatkan
9280,"nutup""in",menutup nutupi
9281,kakkk,kakak
9282,za,saja
9283,mulut2,mulut mulut
9284,peengn,ingin
9285,muantteepp,mantap
9286,mrit,menikah
9287,ngapasih,kenapa sih
9288,segitunya,sebegitunya
9289,fto,foto
9290,sisain,sisakan
9291,slamt,selamat
9292,nantiii,nanti
9293,edaaan,edan
9294,tunggu2,tunggu tunggu
9295,ciyeeeeeee,cie
9296,lairannya,kelahirannya
9297,jmnya,jamnya
9298,ajha,saja
9299,nyaaaa,nya
9300,amiien,amin
9301,terbaikkk,terbaik
9302,ayahh,ayah
9303,ae,saja
9304,mrekaaaa,mereka
9305,yaampuuuunnnn,ya ampun
9306,nyanyiin,menyanyikan
9307,ahhh,ah
9308,tempt,tempat
9309,jalan2,jalan jalan
9310,asyikkkkk,asyik
9311,iriiiii,iri
9312,naaaaahh,nah
9313,kka,kakak
9314,jrang,jarang
9315,gossip2an,saling menggosip
9316,makkk,emak
9317,guee,gue
9318,pengennn,ingin
9319,gilzz,gila
9320,nyaru,menyaru
9321,gilaaa,gila
9322,kebarat2an,kebarat baratan
9323,mantabs,mantap
9324,mlu,malu
9325,payahh,payah
9326,ntaf,mantap
9327,milikin,memiliki
9328,kamo,kamu
9329,inih,ini
9330,sukaaaa,suka
9331,sukaaaaaa,suka
9332,mehoonggggg,mahal
9333,apikkkk,bagus
9334,yach,ya
9335,kereenn,keren
9336,ginii,begini
9337,ayoook,ayo
9338,yoiii,iya
9339,gituuu,begitu
9340,iyaaa,iya
9341,liptsk,lipstik
9342,nyeplak,menjiplak
9343,kmarin,kemarin
9344,mengncang,mengencang
9345,tauu,tau
9346,skitar,sekitar
9347,ats,atas
9348,donk,dong
9349,heii,hai
9350,diputusin,diputus
9351,pcrnya,pacarnya
9352,mnjual,menjual
9353,kkak,kakak
9354,rekomendasiin,rekomendasikan
9355,sihhh,sih
9356,cooocok,cocok
9357,mamanyy,mamanya
9358,bosenin,membosankan
9359,sey,sih
9360,cantikkk,cantik
9361,banger,banget
9362,kaa,kakak
9363,eakyu,waktu
9364,cntik,cantik
9365,kakanya,kakaknya
9366,doeloe,dulu
9367,cantikkkk,cantik
9368,bngtt,banget
9369,iyak,iya
9370,malh,malah
9371,gag,enggak
9372,fhotonya,fotonya
9373,bleh,boleh
9374,tanteny,tantenya
9375,sklinyaa,sekalinya
9376,dramaa,drama
9377,niiih,nih
9378,bisaa,bisa
9379,lihaat,lihat
9380,yuwkkk,ayo
9381,editannn,editan
9382,mai,mau
9383,kamuu,kamu
9384,pastii,pasti
9385,bisaaa,bisa
9386,kejuu,keju
9387,kereen,keren
9388,kmauan,kemauan
9389,ahhhh,ah
9390,yuuuuk,ayo
9391,disiniii,di sini
9392,cobaa,coba
9393,ajaaa,saja
9394,tuhhh,itu
9395,amploppp,amplop
9396,sayangg',sayang
9397,nantii,nanti
9398,aminnnnn,amin
9399,yukkkk,ayo
9400,nged,banget
9401,nantik,nanti
9402,ksitu,ke situ
9403,bangeett,banget
9404,liad,lihat
9405,biasahhh,biasa
9406,tutorialx,tutorialnya
9407,dpke,dipakai
9408,fhoto,foto
9409,kerenn,keren
9410,binggo,banget
9411,rekomndd,rekomended
9412,wado,waduh
9413,guaa,gue
9414,yaakkk,ya
9415,bangetttttyt,banget
9416,bangettttt,banget
9417,bangg,abang
9418,kangeeeeeeeeennnnnnnn,kangen
9419,kaliannnnnn,kalian
9420,rinduuuuuuuuuu,rindu
9421,kangennnnnmnnnnnnnnnnnnnnnnn,kangen
9422,kaliannnnnm,kalian
9423,kangeeeeeeeeeeennnnn,kangen
9424,kangennnnnnnnnnnnnnnn,kangen
9425,kangennn,kangen
9426,kaliannnnnnn,kalian
9427,th2,tahun tahun
9428,trserah,terserah
9429,wlwpun,walaupun
9430,trpsah,terpisah
9431,prsatukn,persatukan
9432,ngomng,ngomong
9433,mdh2an,mudah mudahan
9434,skedar,sekadar
9435,kangeeerrn,kangen
9436,pulak,pula
9437,terrrrbaik,terbaik
9438,jorookknya,joroknya
9439,ihhhhh,ih
9440,padahall,padahal
9441,jorokkkk,jorok
9442,mualll,mual
9443,klow,kalau
9444,taiiii,tai
9445,seneeeeeng,senang
9446,besarin,besarkan
9447,tanyang,tayang
9448,ber2,berdua
9449,kerreeen,keren
9450,pantess,pantas
9451,bngettt,banget
9452,baperr,bawa perasaan
9453,ht,hati
9454,pemainy,pemainnya
9455,aqu,aku
9456,kbawa,terbawa
9457,bradegan,beradegan
9458,amiiinnnn,amin
9459,nikahin,nikahi
9460,nyambung,menyambung
9461,liyat,lihat
9462,adengan,adegan
9463,bingit,banget
9464,model2,model model
9465,sitayngin,ditayangkan
9466,cocokkk,cocok
9467,mahhhh,mah
9468,cocokny,cocoknya
9469,iniw,ini
9470,setju,setuju
9471,bnern,benaran
9472,klian,kalian
9473,cocokkkk,cocok
9474,bngett,banget
9475,abes,habis
9476,ihh,ih
9477,beginiiii,begini
9478,keq,kayak
9479,sygkuu,sayangku
9480,ngeselin,mengesalkan
9481,bajua,bajunya
9482,pokokya,pokoknya
9483,ubur2,ubur ubur
9484,kuyy,ayo
9485,bentarr,bentar
9486,dureen,durian
9487,ajibb,keren
9488,mahall,mahal
9489,niiihh,nih
9490,imuuttt,imut
9491,imuttzz,imut
9492,nha,nya
9493,konten2,konten konten
9494,rasain,rasakan
9495,daaaah,deh
9496,asliiii,asli
9497,cantiknnnnyaaaaaaa,cantiknya
9498,ngelihatnya,melihatnya
9499,ibu2,ibu ibu
9500,lau,kau
9501,cantikk,cantik
9502,sexxi,sexy
9503,bulet,bulat
9504,ituu,itu
9505,ngocok,mengocok
9506,gn,begini
9507,yaahhh,ya
9508,kencqng,kencang
9509,kra,kira
9510,diginikan,dibeginikan
9511,lahh,lah
9512,gambarin,gambarkan
9513,ngerii,mengerikan
9514,digambarin,digambarkan
9515,klen,kalian
9516,kog,kok
9517,liatnya,lihatnya
9518,bedanyaaa,bedanya
9519,mbk,mbak
9520,pgin,ingin
9521,krudungan,kerudungan
9522,maksutku,maksudku
9523,kerennnnn,keren
9524,njirr,anjir
9525,manisnyaaaa,manisnya
9526,thun,tahun
9527,bangeet,banget
9528,ngomen,mengomentari
9529,kaaakk,kakak
9530,tenggah,tengah
9531,uuuuuaaaaaaaaaappppppppppiiiiiiiiiiiiiiiiiikkkkkkkkkkkkkkkk,apik
9532,kocakkkkkkkkkkkkkk,kocak
9533,ksukaanmuuu,kesukaanmu
9534,bagiii,bagi
9535,ayooo,ayo
9536,nontonx,menontonnya
9537,penasarannnn,penasaran
9538,gilakkkkkk,gila
9539,mauuu,mau
9540,nontoonnn,menonton
9541,cepet2,cepat cepat
9542,kepingin,ingin
9543,nontonnnn,menonton
9544,deeek,adik
9545,ntappp,mantap
9546,deg2an,deg degan
9547,cyiiin,cinta
9548,iyha,iya
9549,kureeeen,keren
9550,muantaap,mantap
9551,sbnyak,sebanyak
9552,penasaraaann,penasaran
9553,ayoooo,ayo
9554,nii,ini
9555,nontonya,menontonnya
9556,peen,pengin
9557,gga,enggak
9558,asikkk,asyik
9559,ceritax,ceritanya
9560,yoooiii,iya
9561,udahh,sudah
9562,tauuuuu,tau
9563,sabarrrrr,sabar
9564,kqmu,kamu
9565,banggain,banggakan
9566,pengan,ingin
9567,simpen,simpan
9568,gakk,enggak
9569,bagiin,bagikan
9570,kapn,kapan
9571,barang2,barang barang
9572,senengin,senangi
9573,ampunnnn,ampun
9574,senengg,senang
9575,teruzzz,terus
9576,mantabb,mantap
9577,sumpahh,sumpah
9578,diluarann,di luaran
9579,dlam,dalam
9580,anjirrrr,anjir
9581,jendess,janda
9582,sichh,sih
9583,geh,sana
9584,nggak,enggak
9585,22nya,dua duanya
9586,aduuhhh,aduh
9587,miripp,mirip
9588,silauuu,silau
9589,waww,wow
9590,njiirr,anjir
9591,kesinii,ke sini
9592,gemay,gemas
9593,dstu,di situ
9594,wiiiihhhh,weh
9595,samoga,semoga
9596,kereennn,keren
9597,nyangkaa,menyangka
9598,hasilnyaaa,hasilnya
9599,dahhhh,dah
9600,mudah2,mudah mudah
9601,jugaakk,juga
9602,diapa2in,diapa apai
9603,yaak,ya
9604,lhoo,lo
9605,donx,dong
9606,gthu,begitu
9607,maauuu,mau
9608,pacarrr,pacar
9609,idamann,idaman
9610,naturalllll,natural
9611,berntung,beruntung
9612,merka,mereka
9613,jln2,jalan jalan
9614,romntis,romantis
9615,ulan,ulang
9616,sipp,sip
9617,jugak,juga
9618,ngeluarin,mengeluarkan
9619,keciill,kecil
9620,ughaa,juga
9621,abeees,habis
9622,kapan2,kapan kapan
9623,adain,adakan
9624,bosen2,bosan bosan
9625,sempurnaaaaa,sempurna
9626,kaan,kan
9627,kece2,kece kece
9628,badaaiii,badai
9629,beneraan,benaran
9630,cantiiik,cantik
9631,kuatttt,kuat
9632,cantiiiiiiik,cantik
9633,cantiknyaaa,cantiknya
9634,bae2,baik baik
9635,catiiiiik,cantik
9636,subahanallah,subhanallah
9637,jaman2nya,zaman zamannya
9638,padet,padat
9639,cantiq,cantik
9640,lohh,lo
9641,keeeerrrreeeennnnnnnnn,keren
9642,choker2,choker choker
9643,hadirrr,hadir
9644,hadirr,hadir
9645,jelashh,jelas
9646,mbaaa,mbak
9647,hidupppp,hidup
9648,diliatnya,dilihatnya
9649,abis2,habis habis
9650,para2,parah parah
9651,bangeeet,banget
9652,allahhhhhhh,allah
9653,gemesnya,gemasnya
9654,ilang2,hilang hilang
9655,tbuh,tubuh
9656,itungan,hitungan
9657,ledekin,meledeki
9658,repot2,repot repot
9659,oles2,oles oles
9660,dptkan,dapatkan
9661,artis2,artis artis
9662,kalii,kali
9663,ninggiin,meninggikan
9664,baget,banget
9665,kira2,kira kira
9666,ahh,ah
9667,pas2an,pas pasan
9668,balesin,balaskan
9669,sukaaa,suka
9670,lutuna,lucunya
9671,ciapa,siapa
9672,gemesss,gemas
9673,duhh,duh
9674,terharuuu,terharu
9675,alamii,alami
9676,sampek,sampai
9677,ckrng,sekarang
9678,ngegemesin,menggemaskan
9679,imoet,imut
9680,imut2,imut imut
9681,jagain,jagakan
9682,yahbh,ya
9683,macem2,macam macam
9684,sktika,seketika
9685,lutu,lucu
9686,wowwww,wow
9687,massss,mas
9688,kesiniii,kesini
9689,masyaallahhh,masyaallah
9690,kerennn,keren
9691,ksni,ke sini
9692,begok,bego
9693,jgk,juga
9694,pgi,pagi
9695,keeeeeren,keren
9696,baguusss,bagus
9697,nahannnn,tahan
9698,bagaatt,banget
9699,gayannxa,gayanya
9700,kereeeen,keren
9701,uda,sudah
9702,ngekeh,kekeh
9703,xlian,kalian
9704,b3,bertiga
9705,ihhh,ih
9706,lcu,lucu
9707,koplakkk,kocak
9708,kerass,keras
9709,yachhh,ya
9710,gokil,gila
9711,ngelihat,melihat
9712,ngelawak,melawak
9713,iiihhhhh,ih
9714,nyolotinnnn,melototi
9715,beratttttttt,berat
9716,cantiikkkk,cantik
9717,hijaabbb,hijab
9718,sekalii,sekali
9719,smnagatin,menyemangati
9720,cans,cantik
9721,banhet,banget
9722,bgttttttt,banget
9723,mngasi,mengasih
9724,kmbang,kembang
9725,pla,pula
9726,bngtzt,banget
9727,lucukkkkk,lucu
